,SIO2,TIO2,AL2O3,CR2O3,FEOT,CAO,MGO,MNO,K2O,NA2O,P2O5,H20,F,CL,NIO,CUO,COO,ZNO,PBO,S,ZRO2,AS,MINERAL,GROUP,id,SAMPLE,ROCK
739,44.24,1.84,8.79,0.04,13.57,10.94,13.79,0.23,0.43,1.63,0.02,1.9,0.23,0.08,0.07,0,0,0,0,0,0.04,0,MAGNESIO-HORNBLENDE,AMPHIBOLES,NA,NA,NA
740,46.63,1.98,7.75,0,14.92,10.99,13.83,0.41,0.23,1.68,0.01,1.98,0.15,0.03,0.02,0,0,0,0,0,0,0,MAGNESIO-HORNBLENDE,AMPHIBOLES,NA,NA,NA
741,44.7,2.62,9.46,0,10.83,11.73,14.52,0.1,0.72,1.71,0.05,2.01,0,0.05,0,0,0,0,0,0,0,0,MAGNESIO-HORNBLENDE,AMPHIBOLES,NA,NA,NA
742,42.32,2.02,13.03,0.01,9.53,11.99,15.58,0.12,0.31,2.4,0.14,1.92,0.06,0.02,0,0,0,0,0,0,0.03,0,MAGNESIO-HORNBLENDE,AMPHIBOLES,NA,NA,NA
743,40.83,1.89,14.72,0.06,9.4,12.3,15.24,0.11,0.18,2.32,0,1.9,0.2,0.03,0,0,0,0,0,0,0.03,0,MAGNESIO-HORNBLENDE,AMPHIBOLES,NA,NA,NA
744,45.39,0.81,8.16,0.02,13.44,10.89,14.83,0.41,0.33,1.12,0.3,1.97,0.31,0.07,0,0,0,0,0,0,0,0,MAGNESIO-HORNBLENDE,AMPHIBOLES,NA,NA,NA
745,48.18,1.35,6.07,0,17.07,11.56,10.56,0.41,0.57,1.27,0.03,2.01,0.1,0.05,0,0,0,0,0,0,0,0,MAGNESIO-HORNBLENDE,AMPHIBOLES,NA,NA,NA
746,47.23,1.41,6.87,0.01,15.82,10.02,13.93,0.53,0.53,1.38,0.03,2.05,0.09,0.11,0.01,0,0,0,0,0,0.03,0,MAGNESIO-HORNBLENDE,AMPHIBOLES,NA,NA,NA
747,48.35,1.3,5.53,0.71,11.77,11.88,15.63,0.56,0.57,1.04,0.03,1.92,0.37,0.12,0,0,0,0,0,0,0,0,MAGNESIO-HORNBLENDE,AMPHIBOLES,NA,NA,NA
748,40.63,1.85,14.18,0,12.59,11.78,13.64,0.2,0.39,2.63,0.02,1.92,0.45,0.04,0.02,0,0,0,0,0,0.03,0,MAGNESIO-HORNBLENDE,AMPHIBOLES,NA,NA,NA
749,47.84,1.38,5.96,0.02,16.37,10.38,13.96,0.63,0.27,1.19,0.02,2.04,0.07,0.08,0.04,0,0,0,0,0,0.02,0,MAGNESIO-HORNBLENDE,AMPHIBOLES,NA,NA,NA
750,48.79,1.1,5.71,0,14.77,9.82,14.87,0.78,0.25,1.26,0.08,2.06,0.08,0.15,0,0,0,0,0,0,0.02,0,MAGNESIO-HORNBLENDE,AMPHIBOLES,NA,NA,NA
751,53.34,1.51,1.21,0.02,15.34,5.56,13.73,1.31,0.96,5.33,0.08,0.86,2.86,0.02,0.03,0,0,0,0,0,0.19,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
752,52.43,0.3,2.59,0.04,15.33,1.25,13.99,0.16,1.44,9.07,0.08,0.86,2.1,0.01,0.01,0,0,0,0,0,0.66,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
753,53.89,0.53,0.72,0.01,18.17,0.88,12.46,1.2,2.66,8.68,0.1,0.82,1.96,0,0,0,0,0,0,0,0.01,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
754,51.51,0.48,2.07,0.07,14.93,7.09,14.03,3.69,0.79,4.04,0.68,1.56,1.99,0.04,0.02,0,0,0,0,0,0.3,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
755,51.56,0.61,0.46,0,32.63,0.29,0.07,0.56,1.65,9.66,0.3,0.84,2.35,0.01,0,0,0,0,0,0,0.07,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
756,57.16,0.03,0.99,0.02,11.82,1,16.5,0.34,1,9.29,0.06,1.28,1.26,0.01,0.03,0,0,0,0,0,0.18,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
757,52.26,1.05,1.28,0,18.3,3.33,12.44,0.32,0.85,7.24,0.05,1.1,1.4,0.01,0,0,0,0,0,0,0.1,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
758,49.19,0.82,5.92,0.04,18.4,3.44,11.26,0.25,0.47,8.16,0.04,1.8,1.16,0.01,0.01,0,0,0,0,0,0.14,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
759,58.04,0.67,2.15,0.03,18.13,0.4,6.9,0.7,0.11,3.44,0,1.7,1.6,0,0.04,0,0,0,0,0,0.17,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
760,50.98,0.7,0.33,0.08,32.27,0.13,0.07,0.6,1.71,9.84,0.15,1.06,2.7,0.02,0.01,0,0,0,0,0,0.08,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
761,50.93,1.56,1.96,0,23.34,1.37,8.98,1.68,1.33,9.39,0.61,0.65,1.13,0,0.02,0,0,0,0,0,0.02,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
762,52.54,0.31,2.49,0,14.63,1.34,14.33,0.14,1.55,8.85,0.02,0.65,2.47,0,0,0,0,0,0,0,0.21,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
763,51.98,0.33,2.18,0,20.33,5.35,10.85,0.58,1.44,6.42,1.1,0.5,2.38,0.02,0,0,0,0,0,0,0.35,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
764,53.27,2.17,2.31,0.07,9.77,6.12,17.75,0.72,0.96,5.98,0.15,1.37,1.58,0.03,0.06,0,0,0,0,0,0.24,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
765,50.46,0.62,0.89,0.01,34.28,0.74,0.01,0.74,0.98,9.47,0.27,1.05,1.6,0.02,0.02,0,0,0,0,0,0.08,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
766,53.48,1.42,1.21,0.01,15.02,5.59,14.08,1.29,1.06,5.35,0.03,0.87,2.42,0.02,0,0,0,0,0,0,0,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
767,50.21,2.41,2.92,0.05,18.19,1.37,10.62,0.16,1.85,8.97,0.83,0,2.06,0,0.02,0,0,0,0,0,0.76,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
768,53.82,1.48,1.18,0.03,14.87,5.72,14.23,1.4,1.06,5.55,0.03,0.9,2.37,0.01,0.02,0,0,0,0,0,0.14,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
769,52.41,1.19,2.71,0.02,17.38,2.42,12.39,0.37,1.61,7.98,0.11,1.51,0.95,0.02,0.07,0,0,0,0,0,1.31,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
770,51.68,0.63,0.32,0.01,32.86,0.09,0.03,0.51,1.56,9.71,0.34,1.14,3.15,0.02,0.01,0,0,0,0,0,0.08,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
771,57.3,0.06,0.43,0.03,14.1,1.2,11.38,0.32,1.27,8.54,1.11,0.58,1.91,0,0,0,0,0,0,0,0.78,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
772,57.66,1.09,0.39,0.16,12.15,0.93,11.85,0.37,1.03,8.24,0.07,1.1,1.46,0,0.12,0,0,0,0,0,0.13,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
773,55.61,1.27,0.6,0.03,16.41,0.58,9.24,0.66,0.41,7.81,0,1.61,1.52,0,0.01,0,0,0,0,0,0.15,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
774,53.54,0.21,1.88,0.04,14.46,1.09,14.56,0.1,1.78,8.97,0.75,0.33,2.29,0,0.01,0,0,0,0,0,0.12,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
775,57.04,0,0.31,0.03,11.1,2.51,17.62,0.41,0.75,8.67,0.26,1.49,1.63,0.02,0.02,0,0,0,0,0,2.33,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
776,55.26,0.92,0.21,0,17.76,0.06,13.67,0.02,0.59,8.1,0.07,1.49,1.17,0.01,0.04,0,0,0,0,0,0.18,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
777,55.51,0.98,0.57,0.02,16.08,0.73,9.63,0.73,0.52,7.88,0.1,1.51,1.6,0,0,0,0,0,0,0,0.06,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
778,54.68,1.04,0.52,0.03,16.97,0.78,9.46,0.32,0.93,7.08,0.05,1.43,1.99,0,0.01,0,0,0,0,0,0.1,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
779,54.33,1.81,0.8,0.06,12.3,3.33,14.96,0.62,1.31,8.02,0.12,0.9,2.01,0.02,0.01,0,0,0,0,0,0.09,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
780,52.83,0.54,1.32,0.02,22.43,1.8,10.82,0.26,0.95,8.1,0.05,0.96,1.59,0.02,0,0,0,0,0,0,0.26,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
781,55.39,0.89,0.13,0.01,14.82,2.08,14.19,1.04,1.72,7.63,0.02,1.79,1.93,0.03,0.05,0,0,0,0,0,0.26,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
782,56.94,0.52,1.42,0.02,17.5,0.12,8.26,0.24,0.17,4.93,0.04,2.02,2.4,0,0.02,0,0,0,0,0,0.16,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
783,52.11,0.62,0.36,0,33.05,0.13,0.07,0.52,1.64,9.64,0.28,1.67,2.59,0.01,0.01,0,0,0,0,0,0.04,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
784,48.54,2.05,2.35,0,23.95,1.32,4.45,3.31,1.72,8.35,0,0.51,1.95,0,0,0,0,0,0,0,0.18,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
785,55.94,0.25,0.72,0.01,13.65,1.59,15.08,0.35,2.08,8.42,0.02,0.46,2.45,0,0,0,0,0,0,0,0.13,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
786,51.93,2.09,3.15,0,23.18,4.4,0.1,1.03,1.25,10.01,0.36,1.31,0.11,0,0.03,0,0,0,0,0,1.72,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
787,57.54,0.04,1.18,0,15.26,1.05,11.85,0.31,0.12,4.22,0.14,1.77,1.52,0,0.03,0,0,0,0,0,0.04,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
788,53.63,0.66,0.93,0.05,17.81,1.1,12.31,1.1,2.88,8.68,0.1,1.06,1.63,0.01,0.02,0,0,0,0,0,0.02,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
789,53.84,0.63,0.65,0.05,18.45,1.25,12.14,0.51,3.07,7.96,0.17,1.67,1.08,0.01,0.03,0,0,0,0,0,0.18,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
790,54.01,1.27,1.33,0,14.78,2.67,12.64,0.77,1.74,7.83,0.02,1.12,1.91,0.03,0,0,0,0,0,0,0.12,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
791,50.91,0.45,3.45,0.01,13.46,6.1,14.12,0.57,1.49,6.42,0.1,0.9,1.6,0.03,0.01,0,0,0,0,0,0.32,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
792,52.17,0.02,1.37,0,18.51,1.88,10.17,1.8,1.56,8.64,0.12,0.74,2.13,0.01,0,0,0,0,0,0,1.36,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
793,50.53,0.4,4.24,0.02,14.31,3.59,14.61,0.16,0.94,7.69,0.04,1.44,1.3,0,0.01,0,0,0,0,0,0.1,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
794,51.26,3.45,4.07,0.04,9.04,4.72,15.38,0.76,1.32,6.79,0.34,1.07,2.46,0.03,0.05,0,0,0,0,0,0.66,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
795,52.46,0.76,1.8,0,15.21,2.52,13.91,0.33,1.48,8.31,0.08,0.7,1.66,0,0.01,0,0,0,0,0,0.17,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
796,56.4,0.6,0.62,0.01,20.2,0.99,8.62,0.6,0.55,4.11,0.07,1.16,1.5,0.02,0.03,0,0,0,0,0,0.15,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
797,57.32,1.06,0.35,0.14,12.56,1.1,12.2,0.47,1.14,8.15,0.06,1.2,1.53,0,0.11,0,0,0,0,0,0.15,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
798,53.35,1.51,1.21,0.02,15.33,5.56,13.74,1.31,0.96,5.33,0.08,0.86,2.85,0.02,0.03,0,0,0,0,0,0.18,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
799,52.52,2.65,2.97,0.06,9.5,5.59,16.86,0.74,1.1,6.28,0.22,1.26,1.91,0.03,0.06,0,0,0,0,0,0.4,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
800,51.73,0.59,1.97,0.06,14.94,6.92,14.04,3.42,0.82,4.19,0.61,1.48,2.04,0.04,0.02,0,0,0,0,0,0.27,0,MAGNESIOARFVEDSONITE,AMPHIBOLES,NA,NA,NA
801,45.01,1.31,11.03,0.03,16.95,10.51,10.11,0.13,0.66,2.3,0,2.37,0.16,0.04,0.02,0,0,0,0,0,0,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
802,39.11,1.7,13.61,0.01,17.51,11.4,9.04,0.2,1.19,2.06,0.02,1.98,0.23,0.1,0.03,0,0,0,0,0,0,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
803,40.27,2.18,11.92,0,17.68,12.48,9.46,0.76,1.72,1.79,0.03,1.94,0.2,0.21,0,0,0,0,0,0,0.06,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
804,40.5,2.51,14.67,0.01,8.7,11.47,13.69,0.03,2.75,1.85,0.02,2.16,0.16,0.09,0,0,0,0,0,0,0,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
805,40.92,1.63,13.42,0.04,10.69,12.36,13.63,0.12,2.05,2.27,0.07,1.92,0.01,0.06,0.03,0,0,0,0,0,0,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
806,39.86,2.08,14.48,0.03,10.97,12.18,14.54,0.13,0.25,2.46,0.06,2.11,0.02,0.03,0.05,0,0,0,0,0,0.04,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
807,42.6,0.8,8.3,0.01,14.8,11.8,13,0.39,1.8,2.4,0.16,1.64,2.46,0,0.02,0,0,0,0,0,0.08,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
808,39.91,3.07,13.79,0.06,16.65,9.39,8.03,0.33,1.94,3.15,0.03,1.89,0.16,0.04,0.04,0,0,0,0,0,0.05,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
809,40.71,1.42,14.41,0.01,13.11,11.22,12.93,0.22,0.71,2.98,0.04,2.08,0.01,0.03,0,0,0,0,0,0,0,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
810,41.89,1.7,13.37,0,17.05,10.43,10.8,0.14,0.33,2.57,0.05,2.05,0.3,0.03,0,0,0,0,0,0,0,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
811,42.53,1.78,12.94,0.05,11.68,11.44,14.15,0.14,0.58,2.1,0.11,2.05,0.02,0.02,0.01,0,0,0,0,0,0,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
812,38.54,3.27,10.02,0.05,27.62,10.74,2.38,0.42,1.61,2.94,0.02,1.54,0.56,0.07,0,0,0,0,0,0,0.05,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
813,37.74,2.33,12.46,0.07,12.96,11.31,14.79,0.3,0.38,2.47,0.12,2.02,0.1,0.03,0,0,0,0,0,0,0,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
814,41.05,2.11,12.69,0,11.06,12.64,13.71,0.17,1.37,2.14,0.06,1.95,0.17,0.06,0.07,0,0,0,0,0,-0.02,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
815,41.78,2.09,12.69,0.03,13.42,11.11,13.19,0.33,0.59,2.25,0.06,2.22,0,0.03,0.02,0,0,0,0,0,0,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
816,42.55,1.28,13.18,0.02,13.49,11.12,12.87,0.19,1.08,2.36,0,2,0.11,0,0,0,0,0,0,0,0,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
817,38.04,2.92,13.46,0,19.78,11.55,8.02,0.72,2.03,2.51,0.01,1.92,0.13,0.1,0,0,0,0,0,0,0.02,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
818,40.84,1.03,14.56,0.03,11.74,11.8,14.35,0.16,0.51,2.72,0.06,1.93,0.26,0,0.02,0,0,0,0,0,0.09,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
819,44.15,1.57,9.62,0.01,17.87,11.52,8.82,0.23,1.04,0.88,0.02,7.4,0.28,0.09,0,0,0,0,0,0,0,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
820,46.3,0.6,5.6,0,13.2,11.5,14.4,0.41,1.3,2.4,0.1,1.64,3.4,0.02,0,0,0,0,0,0,0.06,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
821,43.08,1.78,11.44,0.01,14.98,12.32,11.18,0.25,0.91,1.92,0.19,7,0.33,0.03,0,0,0,0,0,0,0,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
822,40.66,1.84,14.24,0,11.25,12.13,13.41,0.14,0.87,2.76,0.02,1.85,0.49,0.03,0.02,0,0,0,0,0,0,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
823,43.14,1.37,12.06,0.04,13.85,11.46,12.52,0.34,0.44,3.42,0.21,2.01,0.48,0.04,0,0,0,0,0,0,0,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
824,42.62,2.63,10.74,0.02,18.26,11.62,10.5,0.3,1.17,1.79,0.02,2.02,0.26,0.07,0,0,0,0,0,0,0,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
825,41.94,1.91,11.56,0.01,10.03,11.59,15.48,0.14,0.94,2.5,0.09,1.91,0.89,0.01,0.02,0,0,0,0,0,0,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
826,39.47,1.13,11.43,0,14.99,12,11.33,0.43,1.69,1.68,0.1,0.82,3.19,0.06,0.01,0,0,0,0,0,0.06,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
827,43.33,0.27,7.21,0.06,25.11,10.41,6.79,0.4,1.68,3.06,0.05,1,1.68,0.04,0.07,0,0,0,0,0,0.09,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
828,41,2.03,12.91,0,16.18,10.56,11.02,0.24,1.06,2.55,0.05,1.85,2.01,0.05,0,0,0,0,0,0,0,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
829,40.72,2.65,13.42,0.06,10.75,12.13,14.71,0.15,1.45,2.07,0.03,2.04,0.1,0.04,0.01,0,0,0,0,0,0,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
830,41.08,0.6,15.54,0.08,13.37,10.53,11.14,0.11,0.48,2.24,0.02,8.6,0,0.02,0,0,0,0,0,0,0,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
831,41.84,2.03,12.01,0.03,11.2,11.79,13.91,0.1,1.11,2.08,0.02,1.87,0.38,0.01,0.06,0,0,0,0,0,0,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
832,43.44,0.81,11.29,0,17.6,11.64,10.97,0.24,0.66,2.15,0.02,2.32,0,0.06,0,0,0,0,0,0,0,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
833,43.84,0.05,7.38,0.06,22.79,10.19,7.98,0.52,1.64,3.19,0.03,1.58,2.06,0.04,0.05,0,0,0,0,0,0.16,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
834,40.29,2.18,8.5,0.03,26.93,10.66,4.15,0.46,1.62,2.95,0.1,1.47,0.96,0.06,0,0,0,0,0,0,0.08,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
835,42.42,1.32,11.99,0.01,11.2,12.87,15.37,0.28,1.1,2.94,0,1.86,0.52,0.03,0,0,0,0,0,0,0,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
836,37.67,2.36,12.01,0.03,19.53,11.44,8.13,0.74,2.43,2.16,0.14,1.86,0.18,0.06,0,0,0,0,0,0,0.04,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
837,40.08,1.23,12.21,0,18.21,11.32,9.01,0.19,1.13,1.5,0.25,1.99,0.1,0.23,0,0,0,0,0,0,0.02,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
838,39.69,1.85,7.72,0.04,27.88,10.19,4.42,0.22,1.19,1.94,0.01,2,0.31,0.7,0,0,0,0,0,0,0.04,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
839,39.76,0.49,15.97,0.01,20.52,11.44,4.16,0.17,1.4,1.25,0.15,2.08,0.23,0.56,0.04,0,0,0,0,0,0.09,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
840,41.78,2.72,13.64,0.07,10.66,11.39,15.05,0.1,0.4,2.54,0.07,2.03,0.15,0.04,0.05,0,0,0,0,0,0.03,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
841,43.23,1.43,11.18,0,20.63,11.65,7.13,0.12,1.33,1.38,0.04,2.14,0.18,0.36,0,0,0,0,0,0,0.06,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
842,42.32,2.05,10.61,0.07,16.17,11.33,10.87,0.62,1.42,2.24,0.02,1.99,0.49,0.08,0.05,0,0,0,0,0,0.05,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
843,40.21,3.27,10.81,0.07,16.48,10.73,10.62,0.6,1.74,3.08,0.05,1.95,0.89,0.05,0,0,0,0,0,0,0.04,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
844,41.44,1.09,15.02,0.11,16,11.41,10.49,0.14,1.1,2.08,0.02,2.16,0,0.11,0.04,0,0,0,0,0,0,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
845,41.11,0.68,10.95,0,24.84,11.7,6,0.57,1.29,1.31,0.02,1.58,0.45,0.15,0.04,0,0,0,0,0,0.03,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
846,44.29,1.91,13.72,0.09,12.08,11.62,13.28,0.14,0.77,2.67,0,2.05,0.08,0.02,0.06,0,0,0,0,0,0.03,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
847,42.08,1.64,10.04,0.01,23.51,11.48,5.6,0.16,1.33,1.29,0.05,1.91,0.32,0.45,0.03,0,0,0,0,0,0.07,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
848,42.87,0.68,10.08,0.02,18.06,11.38,9.89,0.41,1.37,1.94,0,2.03,0.14,0.07,0,0,0,0,0,0,0,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
849,42.84,1.79,12.91,0.07,10.76,11.95,12.93,0.03,1.44,1.86,0.1,2.05,0,0.07,0.09,0,0,0,0,0,0.02,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
850,42.72,0.94,8.59,0.03,24.33,10.93,6.21,0.28,1.51,2.2,0.05,1.44,1.02,0.24,0.05,0,0,0,0,0,0.08,0,MAGNESIOHASTINGSITE,AMPHIBOLES,NA,NA,NA
851,51.12,4.12,0.24,0,10.28,8.58,15.35,0.16,3.09,2.18,0.01,1.74,0.74,0.02,0,0,0,0,0,0,0.07,0,MAGNESIOKATAPHORITE,AMPHIBOLES,NA,NA,NA
852,52.23,1.66,1.79,0.06,9.75,6.12,16.36,2.18,0.81,6.34,0,0.84,2.86,0.05,0.03,0,0,0,0,0,0.19,0,MAGNESIOKATAPHORITE,AMPHIBOLES,NA,NA,NA
853,46.67,4.66,4.44,0.03,7.7,6.46,17.25,0.13,0.5,6.4,0.11,1.81,0.56,0,0,0,0,0,0,0,0.19,0,MAGNESIOKATAPHORITE,AMPHIBOLES,NA,NA,NA
854,51.79,4.52,1.84,0,6.79,5.77,17.89,0.11,2.66,5.61,0.05,0.92,1.84,0.01,0.02,0,0,0,0,0,0.09,0,MAGNESIOKATAPHORITE,AMPHIBOLES,NA,NA,NA
855,47.16,3.98,4.4,0.01,7.57,7.48,17.89,0.12,0.6,5.95,0.19,1.85,0.49,0,0.04,0,0,0,0,0,0.19,0,MAGNESIOKATAPHORITE,AMPHIBOLES,NA,NA,NA
856,50.78,4.32,2.95,0,10.87,5.3,15.95,0.15,1.27,6.41,0.3,1.26,1.74,0.02,0.05,0,0,0,0,0,0.81,0,MAGNESIOKATAPHORITE,AMPHIBOLES,NA,NA,NA
857,50.69,0.47,4.22,0,9.94,7.16,17.46,0.11,1.06,5.69,0,1.27,1,0,0.01,0,0,0,0,0,1.31,0,MAGNESIOKATAPHORITE,AMPHIBOLES,NA,NA,NA
858,50.73,3.68,3.09,0,11.26,4.38,16.06,0.18,1.75,6.88,0.06,0.46,2.45,0.01,0,0,0,0,0,0,1.28,0,MAGNESIOKATAPHORITE,AMPHIBOLES,NA,NA,NA
859,51.9,4.55,1.59,0.08,8.01,6.06,17.03,0.17,2.57,5.3,0.09,0.8,1.86,0.01,0.03,0,0,0,0,0,0.12,0,MAGNESIOKATAPHORITE,AMPHIBOLES,NA,NA,NA
860,52.21,2.59,2.69,0.11,8.75,5.62,16.19,0.51,1.36,6.99,0.6,0.59,1.75,0.03,0.07,0,0,0,0,0,0.12,0,MAGNESIOKATAPHORITE,AMPHIBOLES,NA,NA,NA
861,51.74,4.56,1.39,0,6.94,5.77,17.98,0.12,2.9,5.7,0.25,1.1,2.14,0.01,0.02,0,0,0,0,0,0.12,0,MAGNESIOKATAPHORITE,AMPHIBOLES,NA,NA,NA
862,53.81,3.57,2.12,0,8.87,4.48,18.69,0.12,1.94,6.93,0.12,0.99,1.95,0,0.02,0,0,0,0,0,0.3,0,MAGNESIOKATAPHORITE,AMPHIBOLES,NA,NA,NA
863,50.73,0.31,3.9,0.01,10.44,6.2,17.24,0.15,1,6.14,0.04,1.62,1.06,0.02,0.07,0,0,0,0,0,0.65,0,MAGNESIOKATAPHORITE,AMPHIBOLES,NA,NA,NA
